Player Name,Likes,Inj,Pos,Salary,Team,Opp,Vegas Pts,Vegas Spread,Defense Pass Yds/G,Defense Rush Yds/G,DvP,L3 Pass Att,S Pass Att,Proj Pass Att,Red Zone Pass Att,Yards Per Pass Att,L3 Rush Att,S Rush Att,Proj Rush Att,Red Zone Rush Att,Yards Per Rush Att,L3 Targets,S Targets,Proj Targets,Red Zone Targets,Yards Per Target,Projected Usage,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Ameer Abdullah,6,,RB,4700,DET,CAR,22.0,DET by 2,-14%,-19%,-5%,0.0,0.0,0.0,0.0,0.0,17.0,16.5,13.7,1.5,3.9,2.3,2.8,2.4,0.5,5.9,26,13.4,11.8,11.8,6.1,17.5,12.5,2.7,4.4,0.9
Isaiah Crowell,5,,RB,4700,CLE,NYJ,20.0,NYJ by 1.5,-14%,34%,8%,0.0,0.0,0.0,0.0,0.0,9.7,11.5,10.5,0.5,2.9,2.0,2.0,2.5,0.0,6.3,23,4.9,6.4,6.4,3.0,9.7,12.3,2.6,8.7,1.9
Matt Cassel,,,QB,4700,TEN,@MIA,20.8,TEN by 0,20%,-27%,-22%,10.0,10.0,30.4,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,-2.2,-2.2,-2.2,-2.2,-2.2,12.0,2.6,8.6,1.8
AJ McCarron,,,QB,4700,CIN,BUF,21.0,CIN by 3,-6%,-12%,-36%,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allen Hurns,3,,WR,4700,JAX,@PIT,16.8,PIT by 7.5,-32%,5%,-38%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,6.0,5.8,2.0,7.8,10,13.1,11.7,11.7,5.7,17.6,9.2,2.0,4.1,0.9
Brian Hoyer,18,,QB,4700,SF,@IND,21.3,IND by 1,25%,5%,36%,37.7,37.0,38.1,5.3,5.8,0.7,0.8,1.4,0.5,2.3,0.0,0.0,0.0,0.0,0.0,66,13.9,11.8,11.8,-0.7,24.3,16.7,3.6,25.1,5.3
Patrick Mahomes II,,,QB,4700,KC,@HOU,23.5,KC by 2,-14%,-11%,9%,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Flacco,1,,QB,4700,BAL,@OAK,18.8,OAK by 3,0%,12%,11%,33.7,29.5,35.6,4.8,5.1,0.3,0.3,1.5,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,62,8.7,8.5,8.5,1.5,15.5,14.6,3.1,8.5,1.8
Delanie Walker,5,,TE,4700,TEN,@MIA,20.8,TEN by 0,20%,-27%,-14%,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,1.0,5.7,6.5,6.6,0.0,8.4,12,10.5,11.5,11.5,6.9,16.1,11.2,2.4,5.5,1.2
Paul Richardson,-1,,WR,4600,SEA,@LAR,22.3,LAR by 2,-5%,41%,-5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.5,4.5,1.0,7.9,8,10.1,10.1,10.1,9.4,10.7,8.2,1.8,6.5,1.4
Andre Ellington,14,,RB,4600,ARI,@PHI,19.5,PHI by 6,25%,-34%,-17%,0.0,0.0,0.0,0.0,0.0,4.0,3.0,5.9,0.3,4.3,9.0,7.5,5.5,1.0,6.4,18,12.6,10.8,10.8,4.1,17.6,11.9,2.6,15.3,3.3
Kevin Hogan,,,QB,4600,CLE,NYJ,20.0,NYJ by 1.5,-14%,34%,-4%,9.5,9.5,1.8,2.0,9.6,0.5,0.5,0.2,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4,5.4,5.4,5.4,1.4,9.4,1.0,0.2,17.8,3.9
Wendell Smallwood,6,Q,RB,4600,PHI,ARI,25.5,PHI by 6,-5%,-18%,-19%,0.0,0.0,0.0,0.0,0.0,8.3,7.3,0.0,0.5,3.9,3.3,2.8,0.0,0.3,5.1,0,9.3,7.5,7.5,-0.3,15.3,0.0,0.0,0.0,0.0
Brandon Marshall,2,Q,WR,4600,NYG,LAC,24.3,NYG by 3,-15%,53%,6%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,7.5,6.3,0.5,4.6,11,9.3,7.5,7.5,1.3,13.6,10.8,2.3,3.5,0.8
