Actual,FirstName,FreqInd,GameInfo,ID,LastName,Name,Name...ID,Opponent,Position,Projection,Projection_dfn,Projection_dfn_perturbed,Projection_fc,Projection_reg,Projection_reg_split,RankTargets,RollingTargetPctg,Salary,Team,TierRank,ValueWR
0.0,Jimmy,1.0,Buf@NE 01:00PM ET,7498682,Garoppolo,Jimmy Garoppolo,Jimmy Garoppolo (7498682),BUF,QB,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0104166666667,5200,NE,0.0,0.0
10.7,Mike,1.0,Oak@Bal 01:00PM ET,7498893,Wallace,Mike Wallace,Mike Wallace (7498893),OAK,WR,13.65,10.6,10.6,12.05,10.6858539201,9.64408152154,3.0,0.179245283019,5200,BAL,7.0,0.0
9.8,Theo,1.0,Det@Chi 01:00PM ET,7498779,Riddick,Theo Riddick,Theo Riddick (7498779),CHI,RB,13.7,13.1,13.1,13.98,12.4953892697,11.270749902,4.0,0.154471544715,5200,DET,5.0,0.0
9.5,Jacoby,1.0,Buf@NE 01:00PM ET,7498683,Brissett,Jacoby Brissett,Jacoby Brissett (7498683),BUF,QB,15.42,18.5,18.5,12.46,16.7654709315,15.1138800387,0.0,0.0,5100,NE,6.0,0.0
12.6,Michael,0.0,LA@Ari 04:25PM ET,7498926,Floyd,Michael Floyd,Michael Floyd (7498926),LA,WR,11.22,13.1,13.1,13.22,11.939258029,10.763786156,2.0,0.185483870968,5100,ARI,5.0,0.0
0.0,Matt,1.0,Ten@Hou 01:00PM ET,7498663,Cassel,Matt Cassel,Matt Cassel (7498663),HOU,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,TEN,0.0,0.0
0.0,Brandon,1.0,Ten@Hou 01:00PM ET,7498664,Weeden,Brandon Weeden,Brandon Weeden (7498664),TEN,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,HOU,0.0,0.0
0.0,Tom,1.0,Ten@Hou 01:00PM ET,7498666,Savage,Tom Savage,Tom Savage (7498666),TEN,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,HOU,0.0,0.0
3.5,Tajae,0.0,Ten@Hou 01:00PM ET,7498841,Sharpe,Tajae Sharpe,Tajae Sharpe (7498841),HOU,WR,11.06,12.5,12.5,10.81,11.4717810678,10.3431314566,1.0,0.240740740741,5000,TEN,5.0,0.0
5.4,Delanie,0.0,Ten@Hou 01:00PM ET,7498966,Walker,Delanie Walker,Delanie Walker (7498966),HOU,TE,12.4,11.7,11.7,11.36,11.1968079666,10.0997922682,5.0,0.101851851852,5000,TEN,3.0,0.0
0.0,Josh,1.0,Cle@Was 01:00PM ET,7498668,McCown,Josh McCown,Josh McCown (7498668),WAS,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,CLE,0.0,0.0
0.0,Charlie,0.0,Cle@Was 01:00PM ET,7498669,Whitehurst,Charlie Whitehurst,Charlie Whitehurst (7498669),WAS,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,CLE,0.0,0.0
0.0,Colt,1.0,Cle@Was 01:00PM ET,7498670,McCoy,Colt McCoy,Colt McCoy (7498670),CLE,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,WAS,0.0,0.0
12.1,Cody,1.0,Cle@Was 01:00PM ET,7498672,Kessler,Cody Kessler,Cody Kessler (7498672),WAS,QB,12.6,15.5,15.5,10.83,13.9751082601,12.5976763938,0.0,0.0,5000,CLE,0.0,0.0
0.0,Nate,1.0,Cle@Was 01:00PM ET,7498673,Sudfeld,Nate Sudfeld,Nate Sudfeld (7498673),CLE,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,WAS,0.0,0.0
0.0,Bryce,1.0,Sea@NYJ 01:00PM ET,7498676,Petty,Bryce Petty,Bryce Petty (7498676),SEA,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,NYJ,0.0,0.0
0.0,Geno,1.0,Sea@NYJ 01:00PM ET,7498677,Smith,Geno Smith,Geno Smith (7498677),SEA,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,NYJ,0.0,0.0
0.0,Trevone,1.0,Sea@NYJ 01:00PM ET,7498678,Boykin,Trevone Boykin,Trevone Boykin (7498678),NYJ,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,SEA,0.0,0.0
0.0,Christian,1.0,Sea@NYJ 01:00PM ET,7498679,Hackenberg,Christian Hackenberg,Christian Hackenberg (7498679),SEA,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,NYJ,0.0,0.0
0.0,EJ,1.0,Buf@NE 01:00PM ET,7498681,Manuel,EJ Manuel,EJ Manuel (7498681),NE,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,BUF,0.0,0.0
0.0,Cardale,1.0,Buf@NE 01:00PM ET,7498684,Jones,Cardale Jones,Cardale Jones (7498684),NE,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,BUF,0.0,0.0
8.8,LeGarrette,1.0,Buf@NE 01:00PM ET,7498755,Blount,LeGarrette Blount,LeGarrette Blount (7498755),BUF,RB,15.7,14.1,14.1,13.78,13.6632114163,12.3261705675,11.0,0.0,5000,NE,4.0,0.0
14.9,Derek,1.0,Car@Atl 01:00PM ET,7498685,Anderson,Derek Anderson,Derek Anderson (7498685),ATL,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,CAR,0.0,0.0
0.0,Matt,1.0,Car@Atl 01:00PM ET,7498687,Schaub,Matt Schaub,Matt Schaub (7498687),CAR,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,ATL,0.0,0.0
1.3,Joe,1.0,Car@Atl 01:00PM ET,7498688,Webb,Joe Webb,Joe Webb (7498688),ATL,QB,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,5000,CAR,0.0,0.0
0.0,Ryan,1.0,Oak@Bal 01:00PM ET,7498691,Mallett,Ryan Mallett,Ryan Mallett (7498691),OAK,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,BAL,0.0,0.0
0.0,Matt,1.0,Oak@Bal 01:00PM ET,7498692,McGloin,Matt McGloin,Matt McGloin (7498692),BAL,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,OAK,0.0,0.0
0.0,Connor,1.0,Oak@Bal 01:00PM ET,7498694,Cook,Connor Cook,Connor Cook (7498694),BAL,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,OAK,0.0,0.0
0.0,Dan,1.0,Det@Chi 01:00PM ET,7498696,Orlovsky,Dan Orlovsky,Dan Orlovsky (7498696),CHI,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,DET,0.0,0.0
22.8,Brian,1.0,Det@Chi 01:00PM ET,7498697,Hoyer,Brian Hoyer,Brian Hoyer (7498697),DET,QB,14.08,18.6,18.6,13.65,16.5369135854,14.9046139726,0.0,0.0,5000,CHI,6.0,0.0
0.0,Matt,1.0,Det@Chi 01:00PM ET,7498699,Barkley,Matt Barkley,Matt Barkley (7498699),DET,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,CHI,0.0,0.0
0.0,Austin,1.0,Den@TB 04:05PM ET,7498700,Davis,Austin Davis,Austin Davis (7498700),TB,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,DEN,0.0,0.0
0.0,Mike,1.0,Den@TB 04:05PM ET,7498701,Glennon,Mike Glennon,Mike Glennon (7498701),DEN,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,TB,0.0,0.0
