"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"PF/C","Brandan Wright",3300,"MEM@SA 11/29/2017 08:30PM ET",13.983,"MEM","SA",0,0,0
"SG/SF","Dwayne Bacon",3300,"CHA@TOR 11/29/2017 07:30PM ET",11.895,"CHA","TOR",6,6.5,1.25
"C","Alan Williams",3200,"PHO@DET 11/29/2017 07:00PM ET",0,"PHO","DET",0,0,0
"PF/C","Jordan Bell",3200,"GS@LAL 11/29/2017 10:30PM ET",10.767,"GS","LAL",11.05,0,15.5
"PF/C","Bismack Biyombo",3200,"OKC@ORL 11/29/2017 07:00PM ET",12.607,"ORL","OKC",13.18,13.5,15
"SF/PF","Lance Thomas",3200,"MIA@NY 11/29/2017 07:30PM ET",7.426,"NY","MIA",0,0,0
"SG","Damyean Dotson",3200,"MIA@NY 11/29/2017 07:30PM ET",4.417,"NY","MIA",0,0,0
"PF","Maxi Kleber",3200,"BKN@DAL 11/29/2017 08:30PM ET",8.117,"DAL","BKN",10.19,10.5,27.25
"C","Timofey Mozgov",3200,"BKN@DAL 11/29/2017 08:30PM ET",11.703,"BKN","DAL",6.4,0,0
"C","Nerlens Noel",3200,"BKN@DAL 11/29/2017 08:30PM ET",12.132,"DAL","BKN",0,0,0
"SG/SF","Timothe Luwawu-Cabarrot",3200,"WAS@PHI 11/29/2017 07:00PM ET",11.569,"PHI","WAS",9.42,9,8.25
"PF/C","Deyonta Davis",3200,"MEM@SA 11/29/2017 08:30PM ET",10.536,"MEM","SA",0,10.9,4.5
"C","Zaza Pachulia",3100,"GS@LAL 11/29/2017 10:30PM ET",14.25,"GS","LAL",15.7,15.2,23
"PF/C","Marreese Speights",3100,"OKC@ORL 11/29/2017 07:00PM ET",13.956,"ORL","OKC",12.36,13.5,0
"PF/C","Patrick Patterson",3100,"OKC@ORL 11/29/2017 07:00PM ET",6.934,"OKC","ORL",7.02,6.9,0
"PG","Ramon Sessions",3100,"MIA@NY 11/29/2017 07:30PM ET",12.464,"NY","MIA",0,0,0
"PG","Bobby Brown",3100,"IND@HOU 11/29/2017 08:00PM ET",4.768,"HOU","IND",0,0,0
"C","Salah Mejri",3100,"BKN@DAL 11/29/2017 08:30PM ET",14.734,"DAL","BKN",14.21,14.5,2.5
