"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SS","Kevin Newman",3200,"Pit@Bos 02:05PM ET",0,"Pit"
"1B","Jesus Aguilar",3200,"Col@Mil 02:10PM ET",0.000,"Mil"
"OF","Jordan Patterson",3200,"Col@Mil 02:10PM ET",3.400,"Col"
"OF","Nick Markakis",3200,"Atl@NYM 01:10PM ET",7.051,"Atl"
"C","Andrew Knapp",3200,"Phi@Cin 04:10PM ET",0,"Phi"
"2B/3B","Ryan Schimpf",3200,"SD@LAD 04:10PM ET",7.685,"SD"
"C","Matt Wieters",3200,"Mia@Was 01:05PM ET",6.192,"Was"
"1B","Adam Lind",3200,"Mia@Was 01:05PM ET",5.778,"Was"
"1B","Justin Bour",3200,"Mia@Was 01:05PM ET",6.711,"Mia"
"OF","Billy Burns",3100,"KC@Min 04:10PM ET",4.969,"KC"
"SS","J.J. Hardy",3100,"Tor@Bal 03:05PM ET",5.879,"Bal"
"OF","Darrell Ceciliani",3100,"Tor@Bal 03:05PM ET",1.769,"Tor"
"OF","Chris Young",3100,"Pit@Bos 02:05PM ET",5.753,"Bos"
"1B/3B","Mark Reynolds",3100,"Col@Mil 02:10PM ET",6.756,"Col"
"OF","Michael Reed",3100,"Col@Mil 02:10PM ET",3.375,"Mil"
"2B","Brandon Phillips",3100,"Atl@NYM 01:10PM ET",7.090,"Atl"
"2B/3B","Wilmer Flores",3100,"Atl@NYM 01:10PM ET",5.971,"NYM"
"OF","Jesse Winker",3100,"Phi@Cin 04:10PM ET",0,"Cin"
"1B","Cody Bellinger",3100,"SD@LAD 04:10PM ET",0,"LAD"
"2B/3B","Yangervis Solarte",3100,"SD@LAD 04:10PM ET",7.609,"SD"
"2B/SS","Chris Taylor",3100,"SD@LAD 04:10PM ET",2.722,"LAD"
"OF","Manuel Margot",3100,"SD@LAD 04:10PM ET",6.400,"SD"
"2B/3B","Derek Dietrich",3100,"Mia@Was 01:05PM ET",5.367,"Mia"
"3B","Matt Davidson",3000,"Det@CWS 04:10PM ET",7.000,"CWS"
"OF","Rymer Liriano",3000,"Det@CWS 04:10PM ET",0,"CWS"
"OF","Charlie Tilson",3000,"Det@CWS 04:10PM ET",3.000,"CWS"
