Name_Team,2017-04-02,2017-04-03,2017-04-04,2017-04-05
Adeiny Hechavarria_MIA,NA,0.0,NA,3.0
Omar Narvaez_CWS,NA,NA,NA,NA
Jose Iglesias_DET,NA,NA,NA,NA
Raul Mondesi_KC,NA,0.0,NA,0.0
Matt Joyce_OAK,NA,2.0,0.0,3.0
Austin Hedges_SD,NA,0.0,0.0,2.0
Martin Maldonado_LAA,NA,0.0,9.0,5.0
Rene Rivera_NYM,NA,3.0,NA,NA
Jake Arrieta_CHC,NA,NA,25.3,NA
Johnny Cueto_SF,NA,NA,12.45,NA
Kenta Maeda_LAD,NA,NA,8.45,NA
Lance McCullers_HOU,NA,NA,25.9,NA
Carlos Carrasco_CLE,NA,NA,23.15,NA
Matt Shoemaker_LAA,NA,NA,11.05,NA
Jake Odorizzi_TB,NA,NA,8.1,NA
Hisashi Iwakuma_SEA,NA,NA,9.3,NA
Sean Manaea_OAK,NA,NA,8.7,NA
Adam Wainwright_STL,NA,NA,16.25,NA
CC Sabathia_NYY,NA,NA,16.25,NA
Zach Davies_MIL,NA,NA,-8.05,NA
Tyler Anderson_COL,NA,NA,17.35,NA
Martin Perez_TEX,NA,NA,10.1,NA
Clayton Richard_SD,NA,NA,27.8,NA
Patrick Corbin_ARI,NA,NA,1.6,NA
Evan Gattis_HOU,NA,NA,2.0,14.0
Brandon Guyer_CLE,NA,NA,5.0,2.0
Jesus Aguilar_MIL,NA,NA,5.0,NA
Franklin Gutierrez_LAD,NA,NA,3.0,NA
Jefry Marte_LAA,NA,NA,9.0,NA
Albert Almora_CHC,NA,NA,3.0,NA
Robinson Chirinos_TEX,NA,NA,0.0,NA
Austin Jackson_CLE,NA,NA,10.0,0.0
Marwin Gonzalez_HOU,NA,NA,14.0,NA
Kolten Wong_STL,NA,NA,3.0,NA
Ryan Rua_TEX,NA,NA,2.0,NA
Gorkys Hernandez_SF,NA,NA,20.0,0.0
Peter Bourjos_TB,NA,NA,2.0,NA
Chris Marrero_SF,NA,NA,2.0,NA
Enrique Hernandez_LAD,NA,NA,2.0,NA
Daniel Robertson_TB,NA,NA,0.0,NA
Rickie Weeks_TB,NA,NA,0.0,NA
Erick Aybar_SD,NA,NA,15.0,2.0
Chris Sale_BOS,NA,NA,NA,27.35
Jacob deGrom_NYM,NA,NA,NA,23.7
Cole Hamels_TEX,NA,NA,NA,11.3
Ian Kennedy_KC,NA,NA,NA,10.45
Michael Pineda_NYY,NA,NA,NA,7.45
Tanner Roark_WSH,NA,NA,NA,21.3
Danny Salazar_CLE,NA,NA,NA,17.35
Alex Cobb_TB,NA,NA,NA,19.75
Taijuan Walker_ARI,NA,NA,NA,18.7
Jerad Eickhoff_PHI,NA,NA,NA,19.4
Matt Moore_SF,NA,NA,NA,6.0
J.A. Happ_TOR,NA,NA,NA,24.75
James Paxton_SEA,NA,NA,NA,21.7
Dylan Bundy_BAL,NA,NA,NA,31.35
Bartolo Colon_ATL,NA,NA,NA,21.7
Dan Straily_MIA,NA,NA,NA,-7.3
Brandon Finnegan_CIN,NA,NA,NA,36.55
Jameson Taillon_PIT,NA,NA,NA,22.95
Charlie Morton_HOU,NA,NA,NA,13.3
Tyler Chatwood_COL,NA,NA,NA,10.7
Hector Santiago_MIN,NA,NA,NA,17.05
Wily Peralta_MIL,NA,NA,NA,22.85
Anthony Rendon_WSH,NA,NA,NA,0.0
Hernan Perez_MIL,NA,NA,NA,7.0
Aaron Altherr_PHI,NA,NA,NA,3.0
Cheslor Cuthbert_KC,NA,NA,NA,2.0
Justin Smoak_TOR,NA,NA,NA,10.0
Delino DeShields_TEX,NA,NA,NA,0.0
Trey Mancini_BAL,NA,NA,NA,0.0
Chris Young_BOS,NA,NA,NA,4.0
Kirk Nieuwenhuis_MIL,NA,NA,NA,0.0
Joey Rickard_BAL,NA,NA,NA,0.0
Travis d'Arnaud_NYM,NA,NA,NA,3.0
Eduardo Escobar_MIN,NA,NA,NA,25.0
Manny Pina_MIL,NA,NA,NA,0.0
Roberto Perez_CLE,NA,NA,NA,5.0
Chris Iannetta_ARI,NA,NA,NA,5.0
Jake Marisnick_HOU,NA,NA,NA,0.0
Nick Ahmed_ARI,NA,NA,NA,7.0
Kurt Suzuki_ATL,NA,NA,NA,5.0
Rich Hill_LAD,NA,NA,NA,20.25
Jharel Cotton_OAK,NA,NA,NA,1.75
Garrett Richards_LAA,NA,NA,NA,16.1
Trevor Cahill_SD,NA,NA,NA,17.35
