Actual,FirstName,FreqInd,GameInfo,ID,LastName,Name,Name...ID,Name.Clean,Opponent,Position,Projection,Projection_dfn,Projection_dfn_perturbed,Projection_fc,Projection_reg,Projection_reg_split,RankTargets,RollingTargetPctg,Salary,Team,TierRank,ValueWR
19.1,Sam,0.0,GB@Min 08:30PM ET,7395361,Bradford,Sam Bradford,Sam Bradford (7395361),Sam Bradford,GB,QB,14.0,11.9,11.9,14.27,13.6071975785,,8.0,0.0,5600,MIN,0.0,0.0
22.8,Marvin,0.0,Ten@Det 01:00PM ET,7395561,Jones,Marvin Jones,Marvin Jones Jr. (7395561),Marvin Jones,TEN,WR,15.23,15.0,15.0,14.73,15.8059385063,,1.0,0.289473684211,5500,DET,4.0,0.0
3.8,Thomas,0.0,Sea@LA 04:05PM ET,7395442,Rawls,Thomas Rawls,Thomas Rawls (7395442),Thomas Rawls,LA,RB,13.39,11.2,11.2,15.77,12.925682639,,5.0,0.0697674418605,5500,SEA,6.0,0.0
4.9,Mohamed,1.0,Atl@Oak 04:25PM ET,7395613,Sanu,Mohamed Sanu,Mohamed Sanu (7395613),Mohamed Sanu,OAK,WR,12.29,10.0,10.0,11.08,11.7271411462,,1.0,0.210526315789,5500,ATL,5.0,0.0
3.6,Jonathan,0.0,SF@Car 01:00PM ET,7395365,Stewart,Jonathan Stewart,Jonathan Stewart (7395365),Jonathan Stewart,SF,RB,15.39,12.8,12.8,14.02,14.8207361054,,4.0,0.0625,5400,CAR,5.0,0.0
11.4,Allen,0.0,Jax@SD 04:25PM ET,7395602,Hurns,Allen Hurns,Allen Hurns (7395602),Allen Hurns,SD,WR,15.36,12.6,12.6,11.79,14.7063661559,,3.0,0.128205128205,5400,JAX,5.0,0.0
0.0,Robert,0.0,Bal@Cle 01:00PM ET,7395332,Griffin III,Robert Griffin III,Robert Griffin III (7395332),Robert Griffin III,BAL,QB,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,5300,CLE,0.0,0.0
2.4,John,0.0,TB@Ari 04:05PM ET,7395592,Brown,John Brown,John Brown (7395592),John Brown,TB,WR,11.84,11.8,11.8,12.74,12.3555231991,,4.0,0.128205128205,5300,ARI,5.0,0.0
22.7,Sterling,0.0,NO@NYG 01:00PM ET,7395530,Shepard,Sterling Shepard,Sterling Shepard (7395530),Sterling Shepard,NO,WR,13.36,13.3,13.3,12.42,13.9344464352,,4.0,0.107142857143,5200,NYG,4.0,0.0
4.1,Danny,1.0,Jax@SD 04:25PM ET,7395455,Woodhead,Danny Woodhead,Danny Woodhead (7395455),Danny Woodhead,JAX,RB,15.82,0.0,0.0,16.73,8.80970740414,,2.0,0.205128205128,5200,SD,0.0,0.0
12.3,Trevor,0.0,Ind@Den 04:25PM ET,7395357,Siemian,Trevor Siemian,Trevor Siemian (7395357),Trevor Siemian,IND,QB,14.3,12.4,12.4,14.59,14.0184185436,,0.0,0.0,5200,DEN,0.0,0.0
7.2,Carlos,1.0,SF@Car 01:00PM ET,7395369,Hyde,Carlos Hyde,Carlos Hyde (7395369),Carlos Hyde,CAR,RB,14.17,11.8,11.8,12.94,13.6530338345,,5.0,0.0769230769231,5100,SF,6.0,0.0
10.1,Case,0.0,Sea@LA 04:05PM ET,7395334,Keenum,Case Keenum,Case Keenum (7395334),Case Keenum,SEA,QB,10.85,9.3,9.3,10.24,10.5834228474,,0.0,0.0,5100,LA,0.0,0.0
36.2,Stefon,1.0,GB@Min 08:30PM ET,7395640,Diggs,Stefon Diggs,Stefon Diggs (7395640),Stefon Diggs,GB,WR,15.54,10.3,10.3,13.53,13.6834692835,,1.0,0.264705882353,5100,MIN,5.0,0.0
0.0,Derek,0.0,SF@Car 01:00PM ET,7395290,Anderson,Derek Anderson,Derek Anderson (7395290),Derek Anderson,SF,QB,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,5000,CAR,0.0,0.0
0.0,Joe,0.0,SF@Car 01:00PM ET,7395291,Webb,Joe Webb,Joe Webb (7395291),Joe Webb,SF,QB,0.0,0.0,0.0,0.0,0.0,,9.0,0.0,5000,CAR,0.0,0.0
0.0,Colin,0.0,SF@Car 01:00PM ET,7395292,Kaepernick,Colin Kaepernick,Colin Kaepernick (7395292),Colin Kaepernick,CAR,QB,0.0,2.0,2.0,0.0,0.976638039645,,0.0,0.0,5000,SF,0.0,0.0
0.0,Christian,0.0,SF@Car 01:00PM ET,7395293,Ponder,Christian Ponder,Christian Ponder (7395293),Christian Ponder,CAR,QB,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,5000,SF,0.0,0.0
22.7,Blaine,0.0,SF@Car 01:00PM ET,7395295,Gabbert,Blaine Gabbert,Blaine Gabbert (7395295),Blaine Gabbert,CAR,QB,13.51,12.5,12.5,13.11,13.6273219469,,8.0,0.025641025641,5000,SF,0.0,0.0
0.0,Mark,0.0,Dal@Was 01:00PM ET,7395297,Sanchez,Mark Sanchez,Mark Sanchez (7395297),Mark Sanchez,WAS,QB,0.0,1.5,1.5,0.0,0.732478529734,,0.0,0.0,5000,DAL,0.0,0.0
0.0,Colt,0.0,Dal@Was 01:00PM ET,7395298,McCoy,Colt McCoy,Colt McCoy (7395298),Colt McCoy,DAL,QB,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,5000,WAS,0.0,0.0
0.0,Nate,0.0,Dal@Was 01:00PM ET,7395301,Sudfeld,Nate Sudfeld,Nate Sudfeld (7395301),Nate Sudfeld,DAL,QB,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,5000,WAS,0.0,0.0
0.0,Landry,0.0,Cin@Pit 01:00PM ET,7395304,Jones,Landry Jones,Landry Jones (7395304),Landry Jones,CIN,QB,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,5000,PIT,0.0,0.0
