"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","ValueWR"
"TE","Dennis Pitta (0000000)","Dennis Pitta",0,4100,"Was@Bal 00:00PM ET","Bal","Dennis","Pitta","Was",12.5,11.3,2,0.179012345679012,0
"WR","Dontrelle Inman (0000000)","Dontrelle Inman",0,4100,"SD@Oak 00:00PM ET","SD","Dontrelle","Inman","Oak",10.7,13.95,3,0.163265306122449,1
"RB","Fozzy Whittaker (0000000)","Fozzy Whittaker",0,4100,"TB@Car 00:00PM ET","Car","Fozzy","Whittaker","TB",9.43,7.8,3,0.130434782608696,0
"RB","Duke Johnson (0000000)","Duke Johnson",0,4100,"NE@Cle 00:00PM ET","Cle","Duke","Johnson","NE",10.69,10.3,2,0.191489361702128,0
"RB","Tevin Coleman (0000000)","Tevin Coleman",0,4100,"Atl@Den 00:00PM ET","Atl","Tevin","Coleman","Den",9.23,10.1,4,0.107913669064748,0
"RB","Bilal Powell (0000000)","Bilal Powell",0,4000,"NYJ@Pit 00:00PM ET","NYJ","Bilal","Powell","Pit",9.16,8.7,3,0.137254901960784,0
"RB","Jerick McKinnon (0000000)","Jerick McKinnon",0,4000,"Hou@Min 00:00PM ET","Min","Jerick","McKinnon","Hou",13.18,12.6,5,0.0757575757575758,0
"TE","Antonio Gates (0000000)","Antonio Gates",0,4000,"SD@Oak 00:00PM ET","SD","Antonio","Gates","Oak",9.42,12.5,6,0.0612244897959184,0
"WR","Anquan Boldin (0000000)","Anquan Boldin",0,4000,"Phi@Det 00:00PM ET","Det","Anquan","Boldin","Phi",11.9,10.8,4,0.15625,0
"WR","Danny Amendola (0000000)","Danny Amendola",0,3900,"NE@Cle 00:00PM ET","NE","Danny","Amendola","Cle",8.18,6.5,5,0.104,1
"WR","Pierre Garcon (0000000)","Pierre Garcon",0,3900,"Was@Bal 00:00PM ET","Was","Pierre","Garcon","Bal",10.1,10.8,4,0.162337662337662,0
"WR","Markus Wheaton (0000000)","Markus Wheaton",0,3900,"NYJ@Pit 00:00PM ET","Pit","Markus","Wheaton","NYJ",6.56,7.8,6,0.0416666666666667,0
"WR","Robert Woods (0000000)","Robert Woods",0,3900,"Buf@LA 00:00PM ET","Buf","Robert","Woods","LA",12.28,10.5,1,0.222222222222222,0
"WR","Torrey Smith (0000000)","Torrey Smith",0,3900,"Ari@SF 00:00PM ET","SF","Torrey","Smith","Ari",7.84,10.8,2,0.176470588235294,0
"RB","James White (0000000)","James White",0,3900,"NE@Cle 00:00PM ET","NE","James","White","Cle",7.74,11.7,3,0.152,0
