"Name","Salary","Team","Position","OppTeam","Projections","NA","NA","NA","NA","NA","NA","NA"
"player_id","stat_id","name","team","pos","home_moneyline","away_moneyline","home_total","away_total","opp","order","rpos","fpts"
"11233","518813","Greg Holland","COL","RP","106","-116","4.14","4.36","PHI","","","0"
"11238","448605","Justin Ruggiano","SFG","OF","-111","101","0","0","CHC","","","0"
"11248","400284","Chase Utley","LAD","1B/2B","-140","130","4.05","3.45","STL","7B","X","0"
"11260","518553","Steve Cishek","SEA","RP","-143","133","5.16","4.34","WAS","","","0"
"11265","455755","Chris Stewart","PIT","C","110","-120","4.34","4.66","ATL","","","0"
"11266","543063","Brandon Crawford","SFG","SS","-111","101","0","0","CHC","5B","X","0"
"11267","502210","Josh Reddick","HOU","OF","-119","109","4.65","4.35","DET","2B","X","0"
"11273","504379","Juan Nicasio","PIT","SP","110","-120","4.34","4.66","ATL","","","0"
"11281","543281","Josh Harrison","PIT","2B/3B","110","-120","4.34","4.66","ATL","2B","X","0"
"11285","543475","Jordan Lyles","COL","SP","106","-116","4.14","4.36","PHI","","","0"
"11292","458681","Lance Lynn","STL","SP","-140","130","4.05","3.45","LAD","","","0"
"11296","572761","Matt Carpenter","STL","1B","-140","130","4.05","3.45","LAD","3B","X","0"
"11300","543216","Conor Gillaspie","SFG","3B","-111","101","0","0","CHC","","","0"
"11301","489334","Craig Stammen","SDP","RP","-210","194","4.51","2.99","NYM","","","0"
"11306","453568","Charlie Blackmon","COL","OF","106","-116","4.14","4.36","PHI","1B","X","0"
"11307","543272","Brad Hand","SDP","RP","-210","194","4.51","2.99","NYM","","","0"
"11311","519203","Anthony Rizzo","CHC","1B","-111","101","0","0","SFG","4B","1B","0"
"11315","519058","Mike Moustakas","KCR","3B","-178","168","4.91","3.59","NYY","2B","X","0"
"11318","543766","Bryan Shaw","CLE","RP","-200","185","5.64","3.86","CIN","","","0"
"11323","542914","Anthony Bass","TEX","RP","-184","174","5.24","3.76","BOS","","","0"
"11334","517414","Randall Delgado","ARI","RP","-101","-109","4.44","4.56","MIL","","","0"
"11338","453192","Andrew Miller","CLE","RP","-200","185","5.64","3.86","CIN","","","0"
"11341","453265","Tony Watson","PIT","RP","110","-120","4.34","4.66","ATL","","","0"
"11344","474892","Chris Carter","NYY","1B","-178","168","4.91","3.59","KCR","9B","X","0"
"11349","518700","Eric Fryer","STL","C","-140","130","4.05","3.45","LAD","","","0"
"11350","502082","Lonnie Chisenhall","CLE","OF","-200","185","5.64","3.86","CIN","","","0"
"11361","488984","Tommy Hunter","TBR","RP","-128","118","4.48","4.02","LAA","","","0"
"11373","572122","Kyle Seager","SEA","3B","-143","133","5.16","4.34","WAS","5B","X","0"
"11374","502083","Zach McAllister","CLE","RP","-200","185","5.64","3.86","CIN","","","0"
"11375","446359","Zack Cozart","CIN","SS","-200","185","5.64","3.86","CLE","2B","X","0"
"11378","472528","Luis Valbuena","LAA","1B/3B","-128","118","4.48","4.02","TBR","4B","1B","0"
"11380","545361","Mike Trout","LAA","OF","-128","118","4.48","4.02","TBR","2B","CF","0"
"11384","452095","Tyler Flowers","ATL","C","110","-120","4.34","4.66","PIT","6B","C","0"
"11385","444857","Scott Feldman","CIN","SP","-200","185","5.64","3.86","CLE","","","0"
"11386","516949","Hector Sanchez","SDP","C","-210","194","4.51","2.99","NYM","","","0"
"11387","446653","Jose Lobaton","WAS","C","-143","133","5.16","4.34","SEA","","","0"
"11389","519299","Eric Sogard","MIL","2B","-101","-109","4.44","4.56","ARI","","","0"
"11391","501822","Chris Hatcher","LAD","RP","-140","130","4.05","3.45","STL","","","0"
"11406","514888","Jose Altuve","HOU","2B","-119","109","4.65","4.35","DET","3B","X","0"
"11408","543401","Jason Kipnis","CLE","2B","-200","185","5.64","3.86","CIN","1B","X","0"
"11424","502110","J.D. Martinez","DET","OF","-119","109","4.65","4.35","HOU","5B","RF","0"
"11425","545363","Jacob Turner","WAS","SP","-143","133","5.16","4.34","SEA","","","0"
"11430","444489","Manuel Pina","MIL","C","-101","-109","4.44","4.56","ARI","","","0"
"11431","502671","Paul Goldschmidt","ARI","1B","-101","-109","4.44","4.56","MIL","3B","1B","0"
"11446","521692","Salvador Perez","KCR","C","-178","168","4.91","3.59","NYY","5B","X","0"
"11449","527055","Arodys Vizcaino","ATL","RP","110","-120","4.34","4.66","PIT","","","0"
"11450","572070","Garrett Richards","LAA","SP","-128","118","4.48","4.02","TBR","","","0"
"11472","502029","Chris Marrero","SFG","OF","-111","101","0","0","CHC","","","0"
"11479","519023","Devin Mesoraco","CIN","C","-200","185","5.64","3.86","CLE","8B","X","0"
"11487","455117","Martin Maldonado","LAA","C","-128","118","4.48","4.02","TBR","7B","C","0"
"11494","544931","Stephen Strasburg","WAS","SP","-143","133","5.16","4.34","SEA","","","0"
"11495","446372","Corey Kluber","CLE","SP","-200","185","5.64","3.86","CIN","","","0"
"11496","518875","Shawn Kelley","WAS","RP","-143","133","5.16","4.34","SEA","","","0"
"11510","572191","Michael Taylor","WAS","OF","-143","133","5.16","4.34","SEA","8B","X","0"
"11514","592665","Addison Reed","NYM","RP","-210","194","4.51","2.99","SDP","","","0"
"11535","502748","Brad Peacock","HOU","SP","-119","109","4.65","4.35","DET","","","0"
"12887","543148","Tim Federowicz","SFG","C","-111","101","0","0","CHC","","","0"
"12895","453172","Jared Hughes","MIL","RP","-101","-109","4.44","4.56","ARI","","","0"
"13168","519141","Drew Pomeranz","BOS","SP","-184","174","5.24","3.76","TEX","","","0"
"13169","476454","Dellin Betances","NYY","RP","-178","168","4.91","3.59","KCR","","","0"
"13170","571666","Michael Fiers","HOU","SP","-119","109","4.65","4.35","DET","","","0"
"13171","519222","Austin Romine","NYY","C","-178","168","4.91","3.59","KCR","","","0"
"13280","461235","Brandon Moss","KCR","OF","-178","168","4.91","3.59","NYY","7B","X","0"
"13286","456715","Lorenzo Cain","KCR","OF","-178","168","4.91","3.59","NYY","3B","X","0"
"13289","516969","Kelvin Herrera","KCR","RP","-178","168","4.91","3.59","NYY","","","0"
"13378","493316","Yoenis Cespedes","NYM","OF","-210","194","4.51","2.99","SDP","","","0"
"13385","425794","Adam Wainwright","STL","SP","-140","130","4.05","3.45","LAD","","","0"
"13388","520471","Freddy Galvis","PHI","SS","106","-116","4.14","4.36","COL","2B","X","0"
"13392","547180","Bryce Harper","WAS","OF","-143","133","5.16","4.34","SEA","3B","X","0"
"13394","545333","Trevor Bauer","CLE","SP","-200","185","5.64","3.86","CIN","","","0"
"13398","543590","Kirk Nieuwenhuis","MIL","OF","-101","-109","4.44","4.56","ARI","","","0"
"13407","503556","Marwin Gonzalez","HOU","3B/OF","-119","109","4.65","4.35","DET","","","0"
"13412","506433","Yu Darvish","TEX","SP","-184","174","5.24","3.76","BOS","","","0"
"13417","572041","A.J. Pollock","ARI","OF","-101","-109","4.44","4.56","MIL","","","0"
"13419","493114","Norichika Aoki","HOU","OF","-119","109","4.65","4.35","DET","9B","X","0"
"13423","541640","Erasmo Ramirez","TBR","SP","-128","118","4.48","4.02","LAA","","","0"
"13427","543331","J.J. Hoover","ARI","RP","-101","-109","4.44","4.56","MIL","","","0"
"13434","571578","Patrick Corbin","ARI","SP","-101","-109","4.44","4.56","MIL","","","0"
"13443","543184","Christian Friedrich","SDP","SP","-210","194","4.51","2.99","NYM","","","0"
"13450","475100","Scott Van Slyke","LAD","1B/OF","-140","130","4.05","3.45","STL","","","0"
"13452","537953","Daniel Nava","PHI","OF","106","-116","4.14","4.36","COL","","","0"
"13455","453923","Gregor Blanco","ARI","OF","-101","-109","4.44","4.56","MIL","","","0"
"13460","506702","Sandy Leon","BOS","C","-184","174","5.24","3.76","TEX","","","0"
"13463","543228","Yan Gomes","CLE","C","-200","185","5.64","3.86","CIN","8B","X","0"
"13466","571431","Matt Adams","ATL","1B/OF","110","-120","4.34","4.66","PIT","5B","1B","0"
"13472","594777","Kole Calhoun","LAA","OF","-128","118","4.48","4.02","TBR","6B","RF","0"
"13480","474568","Jordy Mercer","PIT","SS","110","-120","4.34","4.66","ATL","8B","X","0"
"13483","518735","Yasmani Grandal","LAD","C","-140","130","4.05","3.45","STL","3B","X","0"
"13484","592743","Andrelton Simmons","LAA","SS","-128","118","4.48","4.02","TBR","5B","SS","0"
"13488","523260","Joe Kelly","BOS","SP","-184","174","5.24","3.76","TEX","","","0"
