Actual,FirstName,GameInfo,ID,LastName,Name,Name...ID,Opponent,Position,Projection,Projection_dfn,RankTargets,RollingTargetPctg,Salary,Team,TierRank,ValueWR
15.0,Alex,KC@Den 08:30PM ET,7809651,Smith,Alex Smith,Alex Smith (7809651),DEN,QB,14.76,15.5,15.0,0.00277777777778,5000,KC,0.0,0.0
0.0,Austin,KC@Den 08:30PM ET,7809652,Davis,Austin Davis,Austin Davis (7809652),KC,QB,0.0,0.0,0.0,0.0,5000,DEN,0.0,0.0
0.0,Nick,KC@Den 08:30PM ET,7809653,Foles,Nick Foles,Nick Foles (7809653),DEN,QB,0.0,0.0,0.0,0.0,5000,KC,0.0,0.0
0.0,Tyler,KC@Den 08:30PM ET,7809654,Bray,Tyler Bray,Tyler Bray (7809654),DEN,QB,0.0,0.0,0.0,0.0,5000,KC,0.0,0.0
0.0,Paxton,KC@Den 08:30PM ET,7809656,Lynch,Paxton Lynch,Paxton Lynch (7809656),KC,QB,0.0,0.0,0.0,0.0,5000,DEN,0.0,0.0
0.8,Charcandrick,KC@Den 08:30PM ET,7809757,West,Charcandrick West,Charcandrick West (7809757),DEN,RB,5.26,6.7,6.0,0.0805555555556,5000,KC,0.0,0.0
0.0,Jeremy,KC@Den 08:30PM ET,7809884,Maclin,Jeremy Maclin,Jeremy Maclin (7809884),DEN,WR,0.0,0.0,2.0,0.155555555556,5000,KC,0.0,0.0
0.0,Bryce,NE@NYJ 04:25PM ET,7809659,Petty,Bryce Petty,Bryce Petty (7809659),NE,QB,0.0,0.0,0.0,0.0,5000,NYJ,0.0,0.0
0.0,Jimmy,NE@NYJ 04:25PM ET,7809660,Garoppolo,Jimmy Garoppolo,Jimmy Garoppolo (7809660),NYJ,QB,0.0,0.0,12.0,0.00290697674419,5000,NE,0.0,0.0
0.0,Christian,NE@NYJ 04:25PM ET,7809661,Hackenberg,Christian Hackenberg,Christian Hackenberg (7809661),NE,QB,0.0,0.0,0.0,0.0,5000,NYJ,0.0,0.0
14.0,Delanie,Ten@Chi 01:00PM ET,7809906,Walker,Delanie Walker,Delanie Walker (7809906),CHI,TE,14.08,11.7,2.0,0.190735694823,4900,TEN,2.0,0.0
1.8,Travis,SD@Hou 01:00PM ET,7809852,Benjamin,Travis Benjamin,Travis Benjamin (7809852),HOU,WR,10.52,9.1,3.0,0.163538873995,4900,SD,0.0,1.0
10.0,Doug,Sea@TB 04:05PM ET,7809731,Martin,Doug Martin,Doug Martin (7809731),SEA,RB,12.48,13.2,9.0,0.0278481012658,4900,TB,4.0,0.0
20.5,Carlos,SF@Mia 01:00PM ET,7809717,Hyde,Carlos Hyde,Carlos Hyde (7809717),MIA,RB,14.87,14.2,6.0,0.058064516129,4800,SF,4.0,0.0
