Actual,FirstName,GameInfo,ID,LastName,Name,Name...ID,Opponent,Position,Projection,Projection_dfn,Projection_reg,Projection_reg_split,RankTargets,RollingTargetPctg,Salary,Team,TierRank,ValueWR
0.0,Ryan,NO@TB,5000,Griffin,Ryan Griffin,Ryan Griffin (1000000),NO,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,TB,0.0,0.0
0.0,Chase,WAS@PHI,5000,Daniel,Chase Daniel,Chase Daniel (1000000),WAS,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,PHI,0.0,0.0
0.0,Colt,WAS@PHI,5000,McCoy,Colt McCoy,Colt McCoy (1000000),PHI,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,WAS,0.0,0.0
0.0,Nate,WAS@PHI,5000,Sudfeld,Nate Sudfeld,Nate Sudfeld (1000000),PHI,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,WAS,0.0,0.0
1.9,Matt,ARI@MIA,5000,Moore,Matt Moore,Matt Moore (1000000),ARI,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,MIA,0.0,0.0
0.0,Drew,ARI@MIA,5000,Stanton,Drew Stanton,Drew Stanton (1000000),MIA,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,ARI,0.0,0.0
0.0,Derek,SD@CAR,5000,Anderson,Derek Anderson,Derek Anderson (1000000),SD,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,CAR,0.0,0.0
0.0,Kellen,SD@CAR,5000,Clemens,Kellen Clemens,Kellen Clemens (1000000),CAR,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,SD,0.0,0.0
0.0,Joe,SD@CAR,5000,Webb,Joe Webb,Joe Webb (1000000),SD,QB,0.0,0.0,0.0,0.0,11.0,0.002314815,5000,CAR,0.0,0.0
12.7,Greg,SD@CAR,5000,Olsen,Greg Olsen,Greg Olsen (1000000),SD,TE,16.32,16.2,15.6683622125,16.3193977211,1.0,0.231481481,5000,CAR,1.0,0.0
0.0,Josh,CIN@CLE,5000,McCown,Josh McCown,Josh McCown (1000000),CIN,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,CLE,0.0,0.0
12.3,Robert,CIN@CLE,5000,Griffin,Robert Griffin,Robert Griffin (1000000),CIN,QB,0.0,16.8,8.76060532215,9.1576508005,0.0,0.0,5000,CLE,6.0,0.0
0.0,AJ,CIN@CLE,5000,McCarron,AJ McCarron,AJ McCarron (1000000),CLE,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,CIN,0.0,0.0
0.0,Cody,CIN@CLE,5000,Kessler,Cody Kessler,Cody Kessler (1000000),CIN,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,CLE,0.0,0.0
0.0,Jeff,CIN@CLE,5000,Driskel,Jeff Driskel,Jeff Driskel (1000000),CLE,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,CIN,0.0,0.0
0.0,Kevin,CIN@CLE,5000,Hogan,Kevin Hogan,Kevin Hogan (1000000),CIN,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,CLE,0.0,0.0
5.2,Brandon,CIN@CLE,5000,LaFell,Brandon LaFell,Brandon LaFell (1000000),CLE,WR,9.82,11.4,10.2894662052,10.7202521542,2.0,0.167785235,5000,CIN,8.0,1.0
0.0,Jay,CHI@DET,5000,Cutler,Jay Cutler,Jay Cutler (1000000),DET,QB,15.94,0.0,7.052508106,7.31443417227,0.0,0.0,5000,CHI,0.0,0.0
0.0,Dan,CHI@DET,5000,Orlovsky,Dan Orlovsky,Dan Orlovsky (1000000),CHI,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,DET,0.0,0.0
12.5,Matt,CHI@DET,5000,Barkley,Matt Barkley,Matt Barkley (1000000),DET,QB,0.0,15.6,8.13484779914,8.50353288617,0.0,0.0,5000,CHI,0.0,0.0
0.0,David,CHI@DET,5000,Fales,David Fales,David Fales (1000000),DET,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,CHI,0.0,0.0
0.0,Jake,CHI@DET,5000,Rudock,Jake Rudock,Jake Rudock (1000000),CHI,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,DET,0.0,0.0
0.0,Ameer,CHI@DET,5000,Abdullah,Ameer Abdullah,Ameer Abdullah (1000000),CHI,RB,11.8,0.0,5.22080273844,5.41470032828,9.0,0.011312217,5000,DET,0.0,0.0
0.0,Scott,HOU@IND,5000,Tolzien,Scott Tolzien,Scott Tolzien (1000000),HOU,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,IND,0.0,0.0
0.0,Brandon,HOU@IND,5000,Weeden,Brandon Weeden,Brandon Weeden (1000000),IND,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,HOU,0.0,0.0
0.0,Tom,HOU@IND,5000,Savage,Tom Savage,Tom Savage (1000000),IND,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,HOU,0.0,0.0
0.0,Shaun,MIN@JAX,5000,Hill,Shaun Hill,Shaun Hill (1000000),JAX,QB,12.68,0.0,5.61015073927,5.81850848836,0.0,0.0,5000,MIN,0.0,0.0
0.0,Chad,MIN@JAX,5000,Henne,Chad Henne,Chad Henne (1000000),MIN,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,JAX,0.0,0.0
0.0,Taylor,MIN@JAX,5000,Heinicke,Taylor Heinicke,Taylor Heinicke (1000000),JAX,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,MIN,0.0,0.0
0.0,Brandon,MIN@JAX,5000,Allen,Brandon Allen,Brandon Allen (1000000),MIN,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,JAX,0.0,0.0
0.0,Adrian,MIN@JAX,5000,Peterson,Adrian Peterson,Adrian Peterson (1000000),JAX,RB,18.29,0.0,8.09224424458,8.39278550884,10.0,0.011520737,5000,MIN,0.0,0.0
2.7,Allen,MIN@JAX,5000,Robinson,Allen Robinson,Allen Robinson (1000000),MIN,WR,18.72,13.7,15.4265588903,16.0579470483,1.0,0.244444444,5000,JAX,6.0,1.0
0.0,Christian,NYJ@SF,5000,Ponder,Christian Ponder,Christian Ponder (1000000),NYJ,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,SF,0.0,0.0
0.0,Blaine,NYJ@SF,5000,Gabbert,Blaine Gabbert,Blaine Gabbert (1000000),NYJ,QB,14.63,0.0,6.47291051385,6.71331066125,14.0,0.002666667,5000,SF,0.0,0.0
13.2,Bryce,NYJ@SF,5000,Petty,Bryce Petty,Bryce Petty (1000000),SF,QB,0.0,15.2,7.92626195814,8.2854935814,0.0,0.0,5000,NYJ,0.0,0.0
0.0,Christian,NYJ@SF,5000,Hackenberg,Christian Hackenberg,Christian Hackenberg (1000000),SF,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,NYJ,0.0,0.0
37.9,Bilal,NYJ@SF,5000,Powell,Bilal Powell,Bilal Powell (1000000),SF,RB,10.02,12.2,10.7951260692,11.2481053455,3.0,0.122891566,5000,NYJ,4.0,0.0
0.0,Matt,ATL@LA,5000,Schaub,Matt Schaub,Matt Schaub (1000000),LA,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,ATL,0.0,0.0
0.0,Case,ATL@LA,5000,Keenum,Case Keenum,Case Keenum (1000000),ATL,QB,13.14,0.0,5.81367355789,6.02959002658,0.0,0.0,5000,LA,0.0,0.0
0.0,Sean,ATL@LA,5000,Mannion,Sean Mannion,Sean Mannion (1000000),ATL,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,LA,0.0,0.0
12.6,Jared,ATL@LA,5000,Goff,Jared Goff,Jared Goff (1000000),ATL,QB,0.0,15.1,7.87411549788,8.23098375521,0.0,0.0,5000,LA,0.0,0.0
17.3,Todd,ATL@LA,5000,Gurley,Todd Gurley,Todd Gurley (1000000),ATL,RB,19.29,16.8,17.2952904768,18.0093092185,5.0,0.107843137,5000,LA,3.0,0.0
-0.2,Brett,SEA@GB,5000,Hundley,Brett Hundley,Brett Hundley (1000000),SEA,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,GB,0.0,0.0
0.0,Trevone,SEA@GB,5000,Boykin,Trevone Boykin,Trevone Boykin (1000000),GB,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,SEA,0.0,0.0
6.3,Randall,SEA@GB,5000,Cobb,Randall Cobb,Randall Cobb (1000000),SEA,WR,17.1,11.0,13.3018501892,13.8428076282,3.0,0.171370968,5000,GB,8.0,1.0
0.0,Josh,DAL@NYG,5000,Johnson,Josh Johnson,Josh Johnson (1000000),DAL,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,NYG,0.0,0.0
0.0,Mark,DAL@NYG,5000,Sanchez,Mark Sanchez,Mark Sanchez (1000000),NYG,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,DAL,0.0,0.0
0.0,Ryan,DAL@NYG,5000,Nassib,Ryan Nassib,Ryan Nassib (1000000),DAL,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,NYG,0.0,0.0
15.6,Blake,MIN@JAX,5000,Bortles,Blake Bortles,Blake Bortles (1000000),MIN,QB,19.02,14.3,15.8721699248,16.5226678782,0.0,0.0,5000,JAX,0.0,0.0
14.9,Tyler,CIN@CLE,4900,Boyd,Tyler Boyd,Tyler Boyd (1000000),CLE,WR,8.39,13.2,10.5954119883,11.0452407655,3.0,0.147651007,4900,CIN,6.0,0.0
