"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","Projection_fc","Projection_dfn_perturbed","RankTargets","RollingTargetPctg","Projection_reg","Projection_reg_split","Name.Clean","FreqInd","Actual","ValueWR","TierRank"
"WR","Markus Wheaton (7395514)","Markus Wheaton",7395514,5000,"Cin@Pit 01:00PM ET","Pit","Markus","Wheaton","Cin",10.18,0,0,0,6,0,5.66895204640432,NA,"Markus Wheaton",0,0,0,0
"QB","Luke McCown (7395310)","Luke McCown",7395310,5000,"NO@NYG 01:00PM ET","NO","Luke","McCown","NYG",0,0,0,0,0,0,0,NA,"Luke McCown",0,0,0,0
"QB","Josh Johnson (7395311)","Josh Johnson",7395311,5000,"NO@NYG 01:00PM ET","NYG","Josh","Johnson","NO",0,0,0,0,0,0,0,NA,"Josh Johnson",0,0,0,0
"QB","Ryan Nassib (7395312)","Ryan Nassib",7395312,5000,"NO@NYG 01:00PM ET","NYG","Ryan","Nassib","NO",0,0,0,0,0,0,0,NA,"Ryan Nassib",0,0,0,0
"QB","Matt Moore (7395313)","Matt Moore",7395313,5000,"Mia@NE 01:00PM ET","Mia","Matt","Moore","NE",0,0,0,0,0,0,0,NA,"Matt Moore",0,0,0,0
"QB","Brandon Doughty (7395316)","Brandon Doughty",7395316,5000,"Mia@NE 01:00PM ET","Mia","Brandon","Doughty","NE",0,0,0,0,0,0,0,NA,"Brandon Doughty",0,0,0,0
"QB","Jacoby Brissett (7395317)","Jacoby Brissett",7395317,5000,"Mia@NE 01:00PM ET","NE","Jacoby","Brissett","Mia",0,0,0,0,0,0,0,NA,"Jacoby Brissett",0,4.9,0,0
"QB","Brandon Weeden (7395319)","Brandon Weeden",7395319,5000,"KC@Hou 01:00PM ET","Hou","Brandon","Weeden","KC",0,0,0,0,0,0,0,NA,"Brandon Weeden",0,0,0,0
"QB","Nick Foles (7395320)","Nick Foles",7395320,5000,"KC@Hou 01:00PM ET","KC","Nick","Foles","Hou",0,0,0,0,0,0,0,NA,"Nick Foles",0,0,0,0
"QB","Tom Savage (7395322)","Tom Savage",7395322,5000,"KC@Hou 01:00PM ET","Hou","Tom","Savage","KC",0,0,0,0,0,0,0,NA,"Tom Savage",0,0,0,0
