"Name","teamAbbrev","Opponent","Game","Position","Salary","Proj_dfn","Proj_bbm","Proj_rotogrinders","Proj_rotowire","Batting_Order_Confirmed"
"Max Kepler","MIN","KC","KC MIN","OF",4000,"8.2","7.7","7.0","8.0","2"
"Randal Grichuk","STL","CIN","CIN STL","OF",4000,"7.6","7.22","6.85","6.5","7"
"Matt Holliday","NYY","BAL","BAL NYY","1B/OF",4000,"7.5","8.81","7.15","6.8","3"
"Adonis Garcia","ATL","MIL","ATL MIL","3B",4000,"6.3","6.74","6.01","5.1","2"
"Domingo Santana","MIL","ATL","ATL MIL","OF",4000,"6.8","7.88","6.05","5.2","5"
"Michael Taylor","WAS","NYM","NYM WAS","OF",4000,"5.7","6.81","4.34","4.9","7"
"Melky Cabrera","CWS","DET","CWS DET","OF",3900,"6.5","7.93","7.51","6.9","3"
"Eric Hosmer","KC","MIN","KC MIN","1B",3800,"7.3","7.51","7.55","7.5","4"
"Aaron Judge","NYY","BAL","BAL NYY","OF",3800,"7.1","7.96","7.75","5.2","5"
"Dansby Swanson","ATL","MIL","ATL MIL","SS",3800,"6.0","5.98","5.92","6.7","8"
"Josh Reddick","HOU","OAK","HOU OAK","OF",3800,"8.4","8.59","7.41","5.9","2"
"Khris Davis","OAK","HOU","HOU OAK","OF",3800,"7.9","7.78","8.61","7.5","4"
"Ben Gamel","SEA","CLE","CLE SEA","OF",3700,"7.7","0","0","0.0","2"
"Joe Mauer","MIN","KC","KC MIN","1B",3700,"7.0","6.68","5.55","6.1","4"
"Devon Travis","TOR","TB","TB TOR","2B",3700,"6.4","5.87","5.2","5.7","7"
"Jose Peraza","CIN","STL","CIN STL","2B",3700,"6.1","7.5","6.09","7.2","7"
"Jedd Gyorko","STL","CIN","CIN STL","2B/3B",3700,"8.0","8.28","7.74","5.7","4"
"Welington Castillo","BAL","NYY","BAL NYY","C",3700,"6.7","6.56","6.63","5.5","5"
